COD LOCAL,NOMBRELOCAL,FECHA,VENTANETA
"72040,FR_RUMIURCO,2024-02-01 ,""806,384609"""
"72040,FR_RUMIURCO,2024-02-02 ,""468,356902"""
"72040,FR_RUMIURCO,2024-02-03 ,""723,244478"""
"72040,FR_RUMIURCO,2024-02-04 ,""602,330596"""
"72040,FR_RUMIURCO,2024-02-05 ,""1189,338926"""
"72040,FR_RUMIURCO,2024-02-06 ,""709,066219"""
"72040,FR_RUMIURCO,2024-02-07 ,""699,086935"""
"72045,FR_LOS DOS PUENTES,2024-02-01 ,""609,659773"""
"72045,FR_LOS DOS PUENTES,2024-02-02 ,""406,57721"""
"72045,FR_LOS DOS PUENTES,2024-02-03 ,""289,673924"""
"72045,FR_LOS DOS PUENTES,2024-02-04 ,""198,128153"""
"72045,FR_LOS DOS PUENTES,2024-02-05 ,""594,184303"""
"72045,FR_LOS DOS PUENTES,2024-02-06 ,""459,486246"""
"72045,FR_LOS DOS PUENTES,2024-02-07 ,""183,731303"""
"72049,FR_CAPITAN GEOVANNI CALLES,2024-02-01 ,""724,067883"""
"72049,FR_CAPITAN GEOVANNI CALLES,2024-02-02 ,""589,481359"""
"72049,FR_CAPITAN GEOVANNI CALLES,2024-02-03 ,""441,989463"""
"72049,FR_CAPITAN GEOVANNI CALLES,2024-02-04 ,""452,929792"""
"72049,FR_CAPITAN GEOVANNI CALLES,2024-02-05 ,""802,775568"""
"72049,FR_CAPITAN GEOVANNI CALLES,2024-02-06 ,""615,444896"""
"72049,FR_CAPITAN GEOVANNI CALLES,2024-02-07 ,""526,948035"""
"72051,FR_CIUDAD BICENTENARIO,2024-02-01 ,""236,918789"""
"72051,FR_CIUDAD BICENTENARIO,2024-02-02 ,""201,868094"""
"72051,FR_CIUDAD BICENTENARIO,2024-02-03 ,""206,397078"""
"72051,FR_CIUDAD BICENTENARIO,2024-02-04 ,""141,149185"""
"72051,FR_CIUDAD BICENTENARIO,2024-02-05 ,""201,307631"""
"72051,FR_CIUDAD BICENTENARIO,2024-02-06 ,""192,932577"""
"72051,FR_CIUDAD BICENTENARIO,2024-02-07 ,""187,351931"""
"72052,FR_PLAZA ILALO,2024-02-01 ,""1054,583399"""
"72052,FR_PLAZA ILALO,2024-02-02 ,""502,408846"""
"72052,FR_PLAZA ILALO,2024-02-03 ,""286,408975"""
"72052,FR_PLAZA ILALO,2024-02-04 ,""394,26301"""
"72052,FR_PLAZA ILALO,2024-02-05 ,""1219,254361"""
"72052,FR_PLAZA ILALO,2024-02-06 ,""476,811822"""
"72052,FR_PLAZA ILALO,2024-02-07 ,""455,309763"""
"72053,FR_PIMAMPIRO,2024-02-01 ,""586,250142"""
"72053,FR_PIMAMPIRO,2024-02-02 ,""375,701348"""
"72053,FR_PIMAMPIRO,2024-02-03 ,""485,529915"""
"72053,FR_PIMAMPIRO,2024-02-04 ,""558,884144"""
"72053,FR_PIMAMPIRO,2024-02-05 ,""677,156411"""
"72053,FR_PIMAMPIRO,2024-02-06 ,""361,449014"""
"72053,FR_PIMAMPIRO,2024-02-07 ,""397,374207"""
"72055,FR_PLAZA DE LOS PONCHOS,2024-02-01 ,""380,592346"""
"72055,FR_PLAZA DE LOS PONCHOS,2024-02-02 ,""387,574182"""
"72055,FR_PLAZA DE LOS PONCHOS,2024-02-03 ,""363,684693"""
"72055,FR_PLAZA DE LOS PONCHOS,2024-02-04 ,""399,345065"""
"72055,FR_PLAZA DE LOS PONCHOS,2024-02-05 ,""421,33312"""
"72055,FR_PLAZA DE LOS PONCHOS,2024-02-06 ,""365,640636"""
"72055,FR_PLAZA DE LOS PONCHOS,2024-02-07 ,""290,733851"""
"72056,FR_EL ENCANTO 2,2024-02-01 ,""22,961071"""
"72056,FR_EL ENCANTO 2,2024-02-02 ,""12,645357"""
"72056,FR_EL ENCANTO 2,2024-02-04 ,""3,25"""
"72056,FR_EL ENCANTO 2,2024-02-05 ,""1,08"""
"72056,FR_EL ENCANTO 2,2024-02-06 ,""31,656428"""
"72056,FR_EL ENCANTO 2,2024-02-07 ,""6,28"""
"72063,FR_EMILIO GRIJALVA,2024-02-01 ,""799,361389"""
"72063,FR_EMILIO GRIJALVA,2024-02-02 ,""349,493629"""
"72063,FR_EMILIO GRIJALVA,2024-02-03 ,""285,827977"""
"72063,FR_EMILIO GRIJALVA,2024-02-04 ,""246,575507"""
"72063,FR_EMILIO GRIJALVA,2024-02-05 ,""898,073367"""
"72063,FR_EMILIO GRIJALVA,2024-02-06 ,""407,253827"""
"72063,FR_EMILIO GRIJALVA,2024-02-07 ,""478,411888"""
"72064,FR_COTACACHI,2024-02-01 ,""597,374961"""
"72064,FR_COTACACHI,2024-02-02 ,""609,177574"""
"72064,FR_COTACACHI,2024-02-03 ,""747,430396"""
"72064,FR_COTACACHI,2024-02-04 ,""337,247561"""
"72064,FR_COTACACHI,2024-02-05 ,""673,476869"""
"72064,FR_COTACACHI,2024-02-06 ,""1170,662958"""
"72064,FR_COTACACHI,2024-02-07 ,""539,284638"""
"72065,FR_PANZALEO,2024-02-01 ,""1193,933612"""
"72065,FR_PANZALEO,2024-02-02 ,""602,39145"""
"72065,FR_PANZALEO,2024-02-03 ,""632,728791"""
